,Timestamp,personCount,Interval,Sensor
131,2022-10-18 09:11:00,48.0,131,Right
132,2022-10-18 09:12:00,48.0,132,Right
133,2022-10-18 09:13:00,49.0,133,Right
134,2022-10-18 09:14:00,51.0,134,Right
135,2022-10-18 09:15:00,52.0,135,Right
136,2022-10-18 09:16:00,52.0,136,Right
137,2022-10-18 09:17:00,52.0,137,Right
138,2022-10-18 09:18:00,53.0,138,Left
139,2022-10-18 09:19:00,53.0,139,Left
140,2022-10-18 09:20:00,54.0,140,Right
141,2022-10-18 09:21:00,55.0,141,Left
142,2022-10-18 09:22:00,55.0,142,Left
143,2022-10-18 09:23:00,55.0,143,Left
144,2022-10-18 09:24:00,55.0,144,Left
145,2022-10-18 09:25:00,55.0,145,Left
146,2022-10-18 09:26:00,55.0,146,Left
147,2022-10-18 09:27:00,55.0,147,Left
148,2022-10-18 09:28:00,55.0,148,Left
149,2022-10-18 09:29:00,55.0,149,Left
150,2022-10-18 09:30:00,55.0,150,Left
151,2022-10-18 09:31:00,55.0,151,Left
152,2022-10-18 09:32:00,55.0,152,Left
153,2022-10-18 09:33:00,55.0,153,Left
154,2022-10-18 09:34:00,55.0,154,Left
155,2022-10-18 09:35:00,55.0,155,Left
156,2022-10-18 09:36:00,55.0,156,Left
157,2022-10-18 09:37:00,55.0,157,Left
158,2022-10-18 09:38:00,55.0,158,Left
159,2022-10-18 09:39:00,55.0,159,Left
160,2022-10-18 09:40:00,55.0,160,Left
161,2022-10-18 09:41:00,55.0,161,Left
162,2022-10-18 09:42:00,55.0,162,Left
163,2022-10-18 09:43:00,55.0,163,Left
164,2022-10-18 09:44:00,55.0,164,Left
165,2022-10-18 09:45:00,55.0,165,Left
166,2022-10-18 09:46:00,55.0,166,Left
167,2022-10-18 09:47:00,55.0,167,Left
168,2022-10-18 09:48:00,55.0,168,Left
169,2022-10-18 09:49:00,55.0,169,Left
170,2022-10-18 09:50:00,55.0,170,Left
171,2022-10-18 09:51:00,55.0,171,Left
172,2022-10-18 09:52:00,55.0,172,Left
173,2022-10-18 09:53:00,55.0,173,Left
174,2022-10-18 09:54:00,55.0,174,Left
175,2022-10-18 09:55:00,55.0,175,Left
176,2022-10-18 09:56:00,55.0,176,Left
177,2022-10-18 09:57:00,55.0,177,Left
178,2022-10-18 09:58:00,55.0,178,Left
179,2022-10-18 09:59:00,55.0,179,Left
180,2022-10-18 10:00:00,55.0,180,Left
181,2022-10-18 10:01:00,55.0,181,Left
182,2022-10-18 10:02:00,55.0,182,Left
183,2022-10-18 10:03:00,55.0,183,Left
184,2022-10-18 10:04:00,55.0,184,Left
185,2022-10-18 10:05:00,55.0,185,Left
186,2022-10-18 10:06:00,55.0,186,Left
187,2022-10-18 10:07:00,55.0,187,Left
188,2022-10-18 10:08:00,55.0,188,Left
189,2022-10-18 10:09:00,55.0,189,Left
190,2022-10-18 10:10:00,55.0,190,Left
191,2022-10-18 10:11:00,55.0,191,Left
192,2022-10-18 10:12:00,55.0,192,Left
193,2022-10-18 10:13:00,55.0,193,Left
194,2022-10-18 10:14:00,55.0,194,Left
195,2022-10-18 10:15:00,55.0,195,Left
196,2022-10-18 10:16:00,55.0,196,Left
197,2022-10-18 10:17:00,55.0,197,Left
198,2022-10-18 10:18:00,55.0,198,Left
199,2022-10-18 10:19:00,55.0,199,Left
200,2022-10-18 10:20:00,55.0,200,Left
201,2022-10-18 10:21:00,55.0,201,Left
202,2022-10-18 10:22:00,55.0,202,Left
203,2022-10-18 10:23:00,55.0,203,Left
204,2022-10-18 10:24:00,55.0,204,Left
205,2022-10-18 10:25:00,55.0,205,Left
206,2022-10-18 10:26:00,55.0,206,Left
207,2022-10-18 10:27:00,55.0,207,Left
208,2022-10-18 10:28:00,55.0,208,Left
209,2022-10-18 10:29:00,55.0,209,Left
210,2022-10-18 10:30:00,55.0,210,Left
211,2022-10-18 10:31:00,55.0,211,Left
212,2022-10-18 10:32:00,55.0,212,Left
213,2022-10-18 10:33:00,55.0,213,Left
214,2022-10-18 10:34:00,55.0,214,Left
215,2022-10-18 10:35:00,55.0,215,Left
216,2022-10-18 10:36:00,55.0,216,Left
217,2022-10-18 10:37:00,55.0,217,Left
218,2022-10-18 10:38:00,55.0,218,Left
219,2022-10-18 10:39:00,55.0,219,Left
220,2022-10-18 10:40:00,55.0,220,Left
221,2022-10-18 10:41:00,55.0,221,Left
222,2022-10-18 10:42:00,55.0,222,Left
223,2022-10-18 10:43:00,55.0,223,Left
224,2022-10-18 10:44:00,55.0,224,Left
225,2022-10-18 10:45:00,55.0,225,Left
226,2022-10-18 10:46:00,55.0,226,Left
227,2022-10-18 10:47:00,55.0,227,Left
228,2022-10-18 10:48:00,55.0,228,Left
229,2022-10-18 10:49:00,55.0,229,Left
230,2022-10-18 10:50:00,55.0,230,Left
231,2022-10-18 10:51:00,55.0,231,Left
232,2022-10-18 10:52:00,55.0,232,Left
233,2022-10-18 10:53:00,55.0,233,Left
234,2022-10-18 10:54:00,55.0,234,Left
235,2022-10-18 10:55:00,55.0,235,Left
236,2022-10-18 10:56:00,55.0,236,Left
237,2022-10-18 10:57:00,55.0,237,Left
238,2022-10-18 10:58:00,55.0,238,Left
239,2022-10-18 10:59:00,55.0,239,Left
240,2022-10-18 11:00:00,55.0,240,Left
241,2022-10-18 11:01:00,55.0,241,Left
242,2022-10-18 11:02:00,55.0,242,Left
243,2022-10-18 11:03:00,55.0,243,Left
244,2022-10-18 11:04:00,55.0,244,Left
245,2022-10-18 11:05:00,55.0,245,Left
246,2022-10-18 11:06:00,55.0,246,Left
247,2022-10-18 11:07:00,55.0,247,Left
248,2022-10-18 11:08:00,55.0,248,Left
249,2022-10-18 11:09:00,55.0,249,Left
250,2022-10-18 11:10:00,55.0,250,Left
251,2022-10-18 11:11:00,55.0,251,Left
252,2022-10-18 11:12:00,55.0,252,Left
253,2022-10-18 11:13:00,55.0,253,Left
254,2022-10-18 11:14:00,55.0,254,Left
255,2022-10-18 11:15:00,55.0,255,Left
256,2022-10-18 11:16:00,55.0,256,Left
257,2022-10-18 11:17:00,55.0,257,Left
258,2022-10-18 11:18:00,55.0,258,Left
259,2022-10-18 11:19:00,55.0,259,Left
260,2022-10-18 11:20:00,55.0,260,Left
261,2022-10-18 11:21:00,55.0,261,Left
262,2022-10-18 11:22:00,55.0,262,Left
263,2022-10-18 11:23:00,55.0,263,Left
264,2022-10-18 11:24:00,55.0,264,Left
265,2022-10-18 11:25:00,55.0,265,Left
266,2022-10-18 11:26:00,55.0,266,Left
267,2022-10-18 11:27:00,55.0,267,Left
268,2022-10-18 11:28:00,55.0,268,Left
269,2022-10-18 11:29:00,55.0,269,Left
270,2022-10-18 11:30:00,55.0,270,Left
271,2022-10-18 11:31:00,55.0,271,Left
272,2022-10-18 11:32:00,55.0,272,Left
273,2022-10-18 11:33:00,55.0,273,Left
274,2022-10-18 11:34:00,55.0,274,Left
275,2022-10-18 11:35:00,55.0,275,Left
276,2022-10-18 11:36:00,55.0,276,Left
277,2022-10-18 11:37:00,55.0,277,Left
278,2022-10-18 11:38:00,55.0,278,Left
279,2022-10-18 11:39:00,55.0,279,Left
280,2022-10-18 11:40:00,55.0,280,Left
281,2022-10-18 11:41:00,55.0,281,Left
282,2022-10-18 11:42:00,55.0,282,Left
283,2022-10-18 11:43:00,55.0,283,Left
284,2022-10-18 11:44:00,55.0,284,Left
285,2022-10-18 11:45:00,55.0,285,Left
286,2022-10-18 11:46:00,55.0,286,Left
287,2022-10-18 11:47:00,55.0,287,Left
288,2022-10-18 11:48:00,55.0,288,Left
289,2022-10-18 11:49:00,55.0,289,Left
290,2022-10-18 11:50:00,55.0,290,Left
291,2022-10-18 11:51:00,55.0,291,Left
292,2022-10-18 11:52:00,55.0,292,Left
293,2022-10-18 11:53:00,55.0,293,Left
294,2022-10-18 11:54:00,55.0,294,Left
295,2022-10-18 11:55:00,55.0,295,Left
296,2022-10-18 11:56:00,55.0,296,Left
297,2022-10-18 11:57:00,55.0,297,Left
298,2022-10-18 11:58:00,55.0,298,Left
299,2022-10-18 11:59:00,55.0,299,Left
300,2022-10-18 12:00:00,55.0,300,Left
301,2022-10-18 12:01:00,55.0,301,Left
302,2022-10-18 12:02:00,55.0,302,Left
303,2022-10-18 12:03:00,55.0,303,Left
304,2022-10-18 12:04:00,55.0,304,Left
305,2022-10-18 12:05:00,55.0,305,Left
306,2022-10-18 12:06:00,55.0,306,Left
307,2022-10-18 12:07:00,55.0,307,Left
308,2022-10-18 12:08:00,55.0,308,Left
309,2022-10-18 12:09:00,55.0,309,Left
310,2022-10-18 12:10:00,55.0,310,Left
311,2022-10-18 12:11:00,55.0,311,Left
312,2022-10-18 12:12:00,55.0,312,Left
313,2022-10-18 12:13:00,55.0,313,Left
314,2022-10-18 12:14:00,55.0,314,Left
315,2022-10-18 12:15:00,55.0,315,Left
316,2022-10-18 12:16:00,55.0,316,Left
317,2022-10-18 12:17:00,55.0,317,Left
318,2022-10-18 12:18:00,55.0,318,Left
319,2022-10-18 12:19:00,55.0,319,Left
320,2022-10-18 12:20:00,55.0,320,Left
321,2022-10-18 12:21:00,55.0,321,Left
322,2022-10-18 12:22:00,55.0,322,Left
323,2022-10-18 12:23:00,55.0,323,Left
324,2022-10-18 12:24:00,55.0,324,Left
325,2022-10-18 12:25:00,55.0,325,Left
326,2022-10-18 12:26:00,55.0,326,Left
327,2022-10-18 12:27:00,55.0,327,Left
328,2022-10-18 12:28:00,55.0,328,Left
329,2022-10-18 12:29:00,55.0,329,Left
